Country,Life Expectancy,Homicide Rate,Mean years of schooling,Gross national income (GNI) per capita,kg meat/person,cal,has_uhc,happiness_index,genetic_index,level of human development
Albania,78.686,2.29,11.28645502,14131.11039,47.51,3360.0,1.0,5.117,11.4,3
United Arab Emirates,78.12,0.46,12.69402981,62573.59181,62.03,3314.0,1.0,6.561,18.5,4
Argentina,76.813,5.32,11.14726927,20925.26814,109.39,3307.0,1.0,5.929,15.7,4
Armenia,75.224,1.69,11.33030033,13157.9939,45.64,2997.0,0.0,5.283,19.9,3
Australia,83.2,0.89,12.72681999,49238.43335,121.61,3391.0,1.0,7.183,8.6,4
Austria,81.1926829268293,0.97,12.25669003,53618.67138,87.23,3695.0,1.0,7.268,10.4,4
Azerbaijan,73.123,2.2,10.5429697,14256.74456,34.08,3149.0,0.0,5.171,27.2,3
Belgium,80.7951219512195,1.69,12.37567997,52293.39977,65.78,3769.0,1.0,6.834,10.6,4
Benin,62.077,1.13,4.304786445,3408.965923,20.24,2755.0,0.0,5.045,22.6,1
Burkina Faso,61.981,1.25,2.114962259,2117.915916,12.0,2737.0,1.0,4.834,23.9,1
Bangladesh,72.868,2.37,7.379059792,5472.104781,4.04,2563.0,0.0,5.025,18.9,2
Bulgaria,73.6073170731707,1.3,11.41318035,23078.95595,58.32,2854.0,1.0,5.266,24.2,3
Bosnia and Herzegovina,77.545,1.17,10.53631973,15241.91465,36.03,3307.0,0.0,5.813,18.7,3
Belarus,74.2268292682927,2.39,12.14358044,18848.96704,81.47,3270.0,0.0,5.534,23.8,4
Brazil,76.084,27.38,8.128813955,14369.88848,77.32,3301.0,1.0,6.33,15.5,3
Botswana,69.793,15.25,10.34,16198.31841,24.44,2342.0,1.0,3.467,27.0,2
Canada,81.7487804878049,1.76,13.83442722,46807.98619,82.63,3566.0,1.0,7.103,9.6,4
Switzerland,83.1,0.59,13.85966015,66933.00454,67.54,3354.0,1.0,7.571,7.9,4
Chile,80.329,4.4,10.9349663,24563.24486,83.17,3029.0,1.0,6.172,10.0,4
China,77.097,0.53,7.600118446,17504.39969,60.6,3206.0,1.0,5.339,15.9,3
Cameroon,59.626,1.39,6.15131,3620.932408,11.98,2733.0,0.0,5.142,23.9,2
Colombia,77.46,25.34,8.862859726,14384.35666,55.91,3114.0,1.0,6.012,9.7,3
Costa Rica,80.465,11.26,8.804059982,19974.27358,53.56,3029.0,1.0,7.069,9.5,4
Cyprus,81.135,1.26,12.44017029,38188.42152,72.83,3019.0,1.0,6.223,8.2,4
