,Country,Human Development Index (HDI),Inequality-adjusted HDI (IHDI),Overall loss (%),Difference from HDI rank,Coefficient of human inequality nan,Inequality in life expectancy (%),Inequality-adjusted life expectancy index,Inequality in education (%),Inequality-adjusted education index,Inequality in income (%),Inequality-adjusted income index,Income shares held by (%) Poorest 40 percent,Richest 10 percent, Richest 1 percent,Gini coefficient,Level of human development,Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,HDI rank,kg meat/person,cal,has_uhc
179,Afghanistan,0.478,-99.9,-99.9,-99.9,-99.9,26.16536713,0.4768853986156136,45.36517,0.21013053353442374,-99.9,-99.9,-99.9,-99.9,15.25,-99.9,Low,61.9824,10.26384398,2.98506999,1824.190915,-2.0,177.0,-99.9,2040.0,0.0
80,Moldova,0.767,0.711,7.301173402868322,16.0,7.297466136333333,8.885082245,0.6847061786413776,2.570094084,0.7745382013793525,10.43722208,0.6767582724778284,24.1,22.0,9.81,26.0,High,68.8459,14.43299961,11.82159042,14875.33189,-1.0,81.0,38.12,2383.0,0.0
192,Monaco,-99.9,-99.9,-99.9,-99.9,-99.9,3.428432703,0.96571567297,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,n/a,85.9463,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,0.0
95,Mongolia,0.739,0.644,12.855209742895802,10.0,12.725367453333334,9.34619236,0.7109406316880085,11.88363,0.6434646503250198,16.94628,0.584923525406778,20.2,25.7,16.54,32.7,High,70.9754,14.98034954,9.423700333,10588.22532,9.0,90.0,88.38,2579.0,0.0
48,Montenegro,0.832,0.756,9.134615384615374,2.0,9.010792995666668,2.293318987,0.8469305300989315,7.81501,0.7603568903026322,16.92405,0.6700467837395281,16.8,26.0,9.69,36.8,Very high,76.3426,15.08160973,12.17648306,20838.80129,16.0,52.0,73.01,3500.0,0.0
184,Mozambique,0.446,0.3,32.735426008968616,0.0,32.40842271,28.29929733,0.4337859418902998,40.5314308,0.23219704055383128,28.39454,0.26860406907069595,11.8,45.5,31.11,54.0,Low,59.3247,10.2191516,3.197641838,1198.073924,2.0,184.0,9.39,2103.0,0.0
148,Myanmar,0.585,-99.9,-99.9,-99.9,-99.9,21.22284508,0.553519801329888,26.85272,0.37714123114593046,-99.9,-99.9,21.9,25.5,17.09,30.7,Medium,65.6716,10.90913752,6.37680006,3850.524234,5.0,145.0,58.25,2673.0,0.0
138,Namibia,0.615,0.402,34.63414634146341,-10.0,32.839454753333335,19.91711426,0.48381151386523996,25.01567,0.4281943266610841,53.58558,0.31257421608710867,8.6,47.3,21.57,59.1,Medium,59.269,11.92720692,7.192013277,8633.504452,-23.0,134.0,30.53,2469.0,0.0
193,Nauru,-99.9,-99.9,-99.9,-99.9,-99.9,13.45940208,0.580714039919483,-99.9,-99.9,-99.9,-99.9,19.4,27.3,-99.9,34.8,n/a,63.617,11.69042029,-99.9,17729.74084,-99.9,-99.9,-99.9,-99.9,0.0
142,Nepal,0.602,0.449,25.415282392026572,0.0,24.319128766666665,15.5418663,0.6295314382612538,41.0992,0.3114069070531179,16.31632,0.46236973405313253,20.4,26.4,13.89,32.8,Medium,68.4495,12.88694954,5.121792742,3877.315444,10.0,144.0,13.55,2769.0,0.0
125,Nicaragua,0.667,0.516,22.638680659670165,1.0,22.121228755333334,9.870848656,0.746502322319486,25.79903661,0.43725304124819775,30.693801,0.4218805253627342,14.3,37.2,20.75,46.2,Medium,73.8368,12.64135783,7.144,5624.793595,6.0,129.0,30.82,2582.0,0.0
188,Niger,0.4,0.292,27.000000000000014,2.0,26.710599860000002,28.73307037,0.45584849944242606,34.96483,0.17156951225208472,16.43389921,0.31779876550126823,19.0,31.1,11.6,37.3,Low,61.5763,6.957111988,2.116717299,1239.866936,-3.0,189.0,12.75,2601.0,0.0
163,Nigeria,0.535,0.341,36.26168224299066,-7.0,36.024417029999995,39.60649109,0.3036028149451015,40.41507,0.3102533159545849,28.05169,0.4205098420191029,18.7,26.7,11.59,35.1,Low,52.676,10.12758388,7.181074153,4790.284425,-22.0,163.0,7.15,2572.0,0.0
53,Oman,0.816,0.708,13.235294117647056,-7.0,13.048904525333334,7.109055996,0.7508532203902403,11.94880067,0.6984988777843252,20.08885691,0.6760301692650152,-99.9,-99.9,19.57,-99.9,Very high,72.5406,14.57349014,11.65404034,27054.32505,-2.0,51.0,43.34,2940.0,0.0
81,Palau,0.767,-99.9,-99.9,-99.9,-99.9,12.47459698,0.6196852395602473,2.180765728,0.8361923991608227,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,High,66.0204,15.78432,12.49143,13818.67869,5.0,80.0,-99.9,-99.9,0.0
105,"Palestine, State of",0.715,0.584,18.321678321678327,-4.0,17.621487113333334,10.249897,0.7383354357981693,10.97456434,0.6252599277919322,31.64,0.4323629645540165,19.2,25.2,17.93,33.7,High,73.4727,13.35801029,9.938480377,6582.899416,21.0,109.0,-99.9,-99.9,0.0
133,Micronesia (Federated States of),0.628,-99.9,-99.9,-99.9,-99.9,13.9006424,0.6717074498301538,-99.9,-99.9,26.38098943,0.40143972607134604,16.2,29.7,-99.9,40.1,Medium,70.71,11.54947988,7.804956,3696.173945,22.0,136.0,-99.9,-99.9,0.0
157,Mauritania,0.556,0.389,30.035971223021583,-2.0,29.02167278666667,25.73825836,0.5068489540646622,43.98689,0.23772470393749795,17.33987,0.4903329523576545,19.9,24.9,10.75,32.6,Medium,64.3636,9.376159668,4.918804891,5075.305711,-20.0,158.0,31.06,2877.0,0.0
130,Marshall Islands,0.639,-99.9,-99.9,-99.9,-99.9,17.46094704,0.574837520097792,4.779338113,0.6162651436433492,-99.9,-99.9,18.9,27.5,-99.9,35.5,Medium,65.2688,10.2393198,10.88313961,4619.535393,12.0,131.0,-99.9,-99.9,0.0
22,Malta,0.918,0.849,7.516339869281053,2.0,7.425981436,3.227544308,0.949514958372787,5.19238,0.8293265512111286,13.85802,0.775943239282194,21.2,24.8,9.14,31.0,Very high,83.7769,16.83856964,12.21026039,38884.45623,12.0,26.0,82.06,3420.0,0.0
102,Jordan,0.72,0.617,14.30555555555555,7.0,14.205103180333333,9.261599541,0.7574045964344064,15.44186,0.5445209695542346,17.91185,0.5700862797510221,20.3,27.5,17.51,33.7,High,74.2563,10.64655972,10.44668007,9923.714974,8.0,104.0,37.91,2732.0,0.0
55,Kazakhstan,0.811,0.755,6.9050554870530245,5.0,6.925083065333333,7.268719196,0.7042184660466475,3.16666,0.8226012301171752,10.33987,0.7419569342943365,23.3,23.4,15.4,27.8,Very high,69.3622,15.76500034,12.34756189,23942.81837,1.0,59.0,64.89,3067.0,0.0
151,Kenya,0.575,0.426,25.913043478260867,3.0,25.685084096666667,21.01152229,0.5034239486295646,22.89552,0.40010710541066885,33.14821,0.3838151001327018,16.5,31.6,15.19,40.8,Medium,61.427,10.69855835,6.652,4473.570344,-6.0,150.0,15.94,2197.0,0.0
135,Kiribati,0.624,0.516,17.307692307692303,8.0,17.154097046666667,22.46889114,0.5655858607748294,9.63653,0.5367426255494003,19.35687,0.45125603598761316,23.0,22.9,-99.9,27.8,Medium,67.4172,11.801993,7.984461822,4062.586034,14.0,137.0,29.96,3078.0,0.0
118,Kyrgyzstan,0.692,0.627,9.393063583815021,23.0,9.226713036666666,10.48529911,0.688263386501521,3.36425,0.720586663133972,13.83059,0.49739364488594195,22.5,24.0,18.43,29.0,Medium,69.9774,13.1953001,11.37410556,4566.303831,26.0,121.0,30.46,2729.0,0.0
139,Laos,0.607,0.459,24.382207578253702,1.0,24.176819976666668,20.62915993,0.5868655492978856,31.31796,0.31641263147439785,20.58334,0.5210911898479245,17.8,31.2,20.14,38.8,Medium,68.0608,10.13611031,5.374,7699.579617,-18.0,142.0,30.41,2758.0,0.0
38,Latvia,0.863,0.792,8.227114716106598,2.0,7.961744167333333,4.207252502,0.7896063540148219,2.22774,0.8719600043321475,17.45024,0.722378752488224,19.3,26.6,9.13,34.5,Very high,73.5786,16.20252991,13.25271988,32803.23423,4.0,37.0,68.73,3229.0,0.0
60,Panama,0.805,0.64,20.496894409937894,-19.0,19.603252106666666,10.8678236,0.7709700143677107,11.37222672,0.6328659908111592,36.569706,0.5362600339890345,11.7,38.0,20.75,49.8,Very high,76.2233,13.05787868,10.54059029,26956.83707,-8.0,67.0,65.02,2851.0,0.0
112,Lebanon,0.706,-99.9,-99.9,-99.9,-99.9,5.557227612,0.7998169507994944,6.177,0.5668012454232222,-99.9,-99.9,20.6,24.8,21.04,31.8,High,75.0472,11.28587,8.718636,9525.831467,-1.0,103.0,23.97,2857.0,0.0
177,Liberia,0.481,0.33,31.392931392931388,2.0,30.66384255,30.12607765,0.43802564442768005,42.11968,0.26559332975953065,19.74577,0.3098908767184587,18.8,27.1,12.2,35.3,Low,60.7472,10.42078972,5.082,1288.74235,7.0,179.0,18.27,2168.0,0.0
