"country","homRate","homRateYear","assault","assaultYear","sexViolence","sexViolenceYear","kidnap","kidnapYear","robbery","robberyYear"
"El Salvador","52.0200","2018","58.6200","2017","68.5000","2017","0.2350","2017","59.4380",""
"United States Virgin Islands","49.2800","2012","","","","","","","",""
"Jamaica","43.8500","2018","99.4600","2018","54.7000","2017","0.3750","2018","43.3780",""
"Lesotho","43.5600","2015","368.4200","2009","","","3.1150","2009","",""
"Honduras","38.9300","2018","24.2100","2018","15.5000","2017","0.4070","2018","127.2700",""
"Belize","37.7900","2017","278.0900","2017","41","2017","1.3310","2017","68.6580",""
"Venezuela","36.6900","2018","6.5100","2018","","","0.6850","2018","",""
"Saint Vincent and the Grenadines","36.5400","2016","750","2016","98.7000","2016","8.2220","2016","72.1680",""
"South Africa","36.4000","2018","293.5500","2017","87.9000","2017","9.5690","2017","331.6870",""
"Saint Kitts and Nevis","36.0900","2012","277.0900","2011","129.4000","2011","6.0680","2011","133.4900",""
"Nigeria","34.5200","2016","9.6000","2013","1","2013","0.3340","2013","1.1120",""
"Bahamas","31.9600","2017","1046.3300","2018","84.1000","2017","2.3340","2018","165.0300",""
"Trinidad and Tobago","30.6500","2015","43.7900","2015","50.7000","2015","0.2920","2015","180.1750",""
"Mexico","29.0700","2018","37.0800","2018","30.7000","2017","1.4530","2018","257.6890",""
"Anguilla","28.3400","2014","","","","","","","",""
"Saint Martin","27.7300","2016","","","","","","","",""
"Brazil","27.3800","2018","274.3200","2018","28","2013","0.3150","2018","695.7590",""
"Dominica","26.5900","2017","103.3100","2018","135.7000","2017","1.3960","2018","96.3340",""
"Colombia","25.3400","2018","346.1100","2018","48.7000","2017","0.5620","2018","244.3900",""
"Guatemala","22.5000","2018","11.1500","2016","62.6000","2016","2.4730","2015","25.0350",""
"Saint Lucia","21.4400","2018","","","","","","","",""
"Puerto Rico","21.0900","2018","108.5000","2018","37.7000","2017","0.9480","2017","74.5160",""
"Montserrat","20.2800","2012","","","","","","","",""
"Central African Republic","20.1200","2016","","","","","","","",""
"Curacao","19.0400","2007","","","","","","","",""
"Tuvalu","18.6200","2012","","","","","","","",""
"Namibia","17.6800","2012","","","","","","","",""
"Saint Pierre and Miquelon","15.7700","2009","","","","","","","",""
"Botswana","15.2500","2010","806.6100","2014","131.7000","2014","0.0960","2014","81.2980",""
"South Sudan","14.8700","2012","","","","","","","",""
"Guyana","14.2500","2018","67.2700","2018","31.7000","2017","0","2018","140.4350",""
"French Guiana","13.1800","2009","","","","","","","",""
"Seychelles","12.5400","2016","","","","","","","",""
"Uruguay","12.0600","2018","15.2200","2018","61.8000","2017","0.6960","2018","866.7580",""
"Eswatini","11.5600","2017","1421.3400","2004","","","9.3540","2004","",""
"Costa Rica","11.2600","2018","155.4600","2017","191.2000","2017","0.2020","2017","1587.5090",""
"Palau","11.1700","2018","","","","","","","",""
"Antigua and Barbuda","11.0600","2012","8.3100","2018","87","2018","2.0770","2018","91.3980",""
"Grenada","10.8200","2017","338.2200","2017","179.5000","2017","0","2017","51.4100",""
"Uganda","10.5200","2018","13.9200","2017","49.3000","2016","2.3660","2016","16.6400",""
"Iraq","10.0700","2013","83.2300","2014","","","3.7240","2014","",""
"Dominican Republic","10.0500","2018","30.2200","2016","62.6000","2016","0.2020","2016","67.1680",""
"Barbados","9.7700","2018","502.0500","2017","60.1000","2017","3.4940","2017","83.5000",""
"Papua New Guinea","9.7500","2010","","","","","","","",""
"Panama","9.3900","2018","102.0900","2018","114.1000","2017","0.4310","2018","242.8190",""
"Ethiopia","8.7900","2012","","","","","","","",""
"British Virgin Islands","8.3300","2006","","","","","","","",""
"Cayman Islands","8.2200","2014","","","","","","","",""
"Russia","8.2100","2018","15.1500","2018","11.6000","2017","0.2230","2018","5.1290",""
"Bermuda","8.1400","2017","58.6900","2017","145.9000","2017","1.5700","2015","79.3150",""
"Peru","7.9100","2017","145.2600","2018","31.1000","2017","0.3810","2018","222.8670",""
"Kiribati","7.5200","2012","","","","","","","",""
"Zimbabwe","7.4800","2012","413.9600","2008","","","1.7930","2008","",""
"Nicaragua","7.1900","2016","314.9900","2010","62.3000","2010","0.1200","2010","488.1300",""
"Paraguay","7.1400","2018","8.3400","2018","65","2017","0.0720","2018","76.7820",""
"Cape Verde","6.8000","2018","554.4700","2018","39.8000","2018","2.5750","2018","408.6330",""
"Yemen","6.7700","2013","0.1100","2009","0.3000","2009","0.1820","2009","",""
"Haiti","6.6800","2018","11.4900","2018","","","0.4140","2018","1.6180",""
"Afghanistan","6.6600","2018","","","","","","","",""
"Tanzania","6.4800","2016","4.5900","2015","0.1000","2015","0","2015","18.2370",""
"Philippines","6.4600","2018","","","1.8000","2012","0.0300","2012","15.2820",""
"Bolivia","6.2200","2016","70.8100","2018","36.3000","2017","0.7400","2018","132.2450",""
"Ukraine","6.1800","2017","3.6300","2017","1.9000","2017","1.2500","2017","47.5100",""
"Mongolia","6.1800","2018","10.2800","2018","12.1000","2017","0.1890","2018","39.5980",""
"Burundi","6.0500","2016","5.5800","2014","12.9000","2014","0.8020","2014","45.6610",""
"Mayotte","5.9300","2009","","","","","","","",""
"Ecuador","5.8000","2018","37.6100","2018","80.5000","2017","4.4080","2018","419.7410",""
"Guadeloupe","5.7500","2016","","","","","","","",""
"Suriname","5.4300","2017","63.1000","2017","","","","","",""
"American Samoa","5.3800","2016","","","","","","","",""
"Zambia","5.3700","2015","","","","","","","",""
"Argentina","5.3200","2018","306.5300","2018","32.5000","2017","","","922.5930",""
"Greenland","5.3200","2016","","","","","","","",""
"Sudan","5.1500","2008","","","","","","","",""
"Kazakhstan","5.0600","2017","11.3400","2018","11.7000","2017","0.4090","2017","52.3730",""
"Cuba","5.0500","2016","","","","","","","",""
"United States","4.9600","2018","246.8400","2018","","","","","86.2440",""
"Kenya","4.9300","2018","34.0700","2018","10.9000","2017","0.0210","2018","5.7110",""
"Angola","4.8500","2012","","","","","","","",""
"Lithuania","4.5700","2018","6.6000","2018","7.9000","2017","0","2018","29.3440",""
"Niger","4.4300","2012","","","","","","","",""
"Chile","4.4000","2018","65.2100","2018","69.5000","2017","1.6340","2018","639.0300",""
"Latvia","4.3600","2018","33.5000","2018","13.4000","2017","0.5190","2018","27.6900",""
"Turkmenistan","4.2200","2006","1.7300","2006","","","2.7000","2004","",""
"Moldova","4.1000","2018","5.0800","2018","15.1000","2017","2.1600","2014","3.0690",""
"Timor-Leste","4.1000","2015","","","10.7000","2017","0.3220","2017","1.8500",""
"Pakistan","3.8800","2018","12.5100","2018","1.8000","2017","9.4520","2018","7.0270",""
"Solomon Islands","3.7700","2008","217.9300","2008","24.2000","2008","","","",""
"Mozambique","3.5100","2011","2.3000","2009","","","","","",""
"Cook Islands","3.4900","2012","","","","","","","",""
"Liberia","3.2600","2012","","","","","","","",""
"Sao Tome and Principe","3.2500","2011","2.1700","2011","0","2011","0","2011","0.5420",""
"New Caledonia","3.2000","2009","","","","","","","",""
"Samoa","3.1500","2013","","","","","","","",""
"India","3.0800","2018","26.1300","2013","9.1000","2013","5.1110","2013","2.8470",""
"Tunisia","3.0600","2012","","","","","","","",""
"Gibraltar","2.9800","2010","","","","","","","",""
"Mauritius","2.9200","2018","18.3800","2011","37.2000","2011","3.9970","2011","65.0640",""
"Martinique","2.7700","2009","","","","","","","",""
"Liechtenstein","2.6400","2018","208.3400","2018","21.2000","2017","0","2016","5.2750",""
"Turkey","2.5900","2018","102.8200","2014","54","2014","42.6690","2014","33.9770",""
"Thailand","2.5800","2017","13.3100","2018","5","2017","0.0060","2018","1.5400",""
"Rwanda","2.5800","2015","30.5100","2013","16","2013","0.1940","2013","25.6390",""
"Egypt","2.5500","2012","0.4000","2011","0.1000","2011","0.3230","2011","3.1620",""
"Iran","2.5000","2014","","","","","","","",""
"Guam","2.5000","2011","","","","","","","",""
"Hungary","2.4900","2017","137.4300","2014","6","2017","0.0210","2018","7.1700",""
"Lebanon","2.4900","2018","111.5700","2016","2.2000","2017","15.3840","2015","42.6930",""
"Sri Lanka","2.4200","2018","13.6100","2018","11.3000","2017","1.2250","2018","14.8200",""
"Belarus","2.3900","2018","7.6500","2018","9.2000","2017","0.0630","2018","15.4770",""
"Bangladesh","2.3700","2018","0.4000","2006","","","0.7940","2006","",""
"Fiji","2.3100","2014","","","","","","","",""
"Nepal","2.3000","2016","0.2400","2016","","","0.0730","2016","0.3120",""
"Albania","2.2900","2018","4.6800","2018","3.9000","2017","0.1730","2018","4.6140",""
"Myanmar","2.2600","2016","8.7100","2018","0.7000","2013","0.0070","2018","0.3370",""
"Montenegro","2.2300","2018","24.3700","2018","3.7000","2017","0","2018","19.5920",""
"Georgia","2.2200","2018","5.6500","2014","3.2000","2014","0.0980","2010","9.3430",""
"Azerbaijan","2.2000","2018","3.0600","2018","1.2000","2017","0.0300","2018","4.2820",""
"Kyrgyzstan","2.1900","2018","2.5400","2018","","","0.3170","2018","10.4060",""
"Malaysia","2.1300","2013","21.8200","2006","","","","","",""
"Estonia","2.1200","2018","6.8000","2018","19.6000","2017","0","2018","15.2340",""
"Ghana","2.0900","2017","","","","","","","",""
"Aruba","1.9300","2014","","","","","","","",""
"Cambodia","1.8400","2011","","","","","","","",""
"Kuwait","1.8200","2012","24.3200","2009","18","2009","12.6900","2009","",""
"Reunion","1.8200","2009","","","","","","","",""
"Malawi","1.8100","2012","","","","","","","",""
"Canada","1.7600","2018","150.8100","2017","95.3000","2017","10.2850","2017","61.9050",""
"Sierra Leone","1.7300","2015","323.9700","2008","10.2000","2008","","","",""
"Belgium","1.6900","2017","549.9100","2018","72.5000","2017","10.2450","2017","141.7590",""
"Armenia","1.6900","2018","6.0600","2018","3.5000","2017","1.8630","2018","9.6890",""
"Tajikistan","1.6400","2011","48.5200","2011","2.6000","2011","2.2340","2011","3.7410",""
"Finland","1.6300","2018","29.1300","2018","55.4000","2017","0.0720","2018","29.7570",""
"Malta","1.5900","2018","41.6600","2018","17.8000","2017","0","2018","47.3530",""
"Vietnam","1.5300","2011","","","","","","","",""
"Israel","1.4900","2017","575.2400","2011","61.1000","2011","3.5390","2011","36.6760",""
"Morocco","1.4200","2018","308.9900","2018","11.3000","2017","2.2930","2018","48.7100",""
"Cameroon","1.3900","2017","18.1500","2017","3.1000","2014","3.4970","2017","18.1470",""
"Algeria","1.3600","2015","123.5700","2015","8.5000","2015","1.3010","2015","65.5000",""
